 Number , Customer Name , Clsd , Rep , PL , Group , Jan-Dec 2014 , Jan-Dec 2013 , Variance ,% Chng
 AA785MT , A & A CUSTOM DESIGNS ,, 117-Lori Eaton , 1 , Decorator , $-   , $-   , $-   ,0.0%
 AB741TO , A & B ENGRAVING INC ,, 117-Lori Eaton , 1 , Decorator , $-   , $178.62 , $(178.62),-100.0%
 AG760GT , A GREAT IDEA ,, 117-Lori Eaton , 1 , Corporate ," $1,106.51 ", $-   ," $1,106.51 ",100.0%
 SL775LT , A SILVER LINING ,, 117-Lori Eaton , 1 , Promotional , $369.65 , $186.85 , $182.80 ,97.8%
 AZ772HT , A TO Z SPEICALTIES ,, 117-Lori Eaton , 1 , Decorator , $-   , $111.15 , $(111.15),-100.0%
 AS770HT , ACCENT SCREEN PRINTING ,, 117-Lori Eaton , 1 , Decorator ," $1,482.42 ", $697.08 , $785.34 ,112.7%
 AD775BT , AD-CENTIVES BY LDHT ,, 117-Lori Eaton , 1 , Promotional , $251.72 , $-   , $251.72 ,100.0%
 AS773HT , ADVANTAGE SPECIALTIES INC ,, 117-Lori Eaton , 1 , Decorator ," $7,839.76 "," $1,782.29 "," $6,057.47 ",339.9%
 AW770HT , AD-WEAR & SPECIALTY OF TEXAS INC ,, 117-Lori Eaton , 1 , Promotional ," $3,393.55 ", $-   ," $3,393.55 ",100.0%
 AA782ST , ALLIED ADVERTISING ,, 117-Lori Eaton , 1 , Promotional ," $1,186.66 ", $613.49 , $573.17 ,93.4%
 AP782ST , ALLSTAR CORPORATE PROMOTIONS ,, 117-Lori Eaton , 1 , Promotional , $413.77 , $692.42 , $(278.65),-40.2%
 AS759LT , AMERICAN SPORTSWEAR & EMB ,, 117-Lori Eaton , 1 , Decorator ," $2,462.49 ", $-   ," $2,462.49 ",100.0%
 AC773ST , AMOS CUSTOM EMBROIDERY ,, 117-Lori Eaton , 1 , Promotional , $-   , $384.06 , $(384.06),-100.0%
 AG770HT , ANN WERME GROUP ,, 117-Lori Eaton , 1 , Promotional , $152.27 , $-   , $152.27 ,100.0%
